student_id,date,Start DateTime,End DateTime,shelfreads_completed,start_call,end_call,Duration
8.0,2019-06-07,1900-01-01,1900-01-01,8.0,PQ6379.E6C7 v.1,PQ6275.A2K7,0.0
8.0,2019-06-07,1900-01-01,1900-01-01,20.0,PQ6275.HZR7 1842,PQ6329.A6156 1998,0.0
8.0,2019-06-07,1900-01-01,1900-01-01,21.0,PQ6329.A7F83 vol.3,PQ6394.A11967 v.2,0.0
8.0,2019-06-28,1900-01-01,1900-01-01,6.0,PQ6394.A7 1967 v.3,PQ6401.A1 1940A,0.0
8.0,2019-07-12,1900-01-01,1900-01-01,4.0,PQ6401.A1 1947,PQ6411.L58 1950 v.2,0.0
8.0,2019-07-31,1900-01-01,1900-01-01,49.0,PQ6412.L2R53 1987,PQ6532.J7254 v.2,0.0
8.0,2019-08-14,1900-01-01,1900-01-01,60.0,PQ6532.S7Z54,PQ6609.S5R7 1923,0.0
