student_id,date,Start DateTime,End DateTime,shelfreads_completed,start_call,end_call,Duration
12.0,2024-11-10,2024-11-10 17:10:00,2024-11-10 17:48:00,11.0,BM506.Y7H55 1984,BM520.86.A2 1970 vol. 1,0.63
16.0,2021-10-21,2021-10-21 09:52:00,2021-10-21 10:55:00,33.0,A863.4.A369 2001,AM145.S45  1998,1.05
16.0,2021-10-22,2021-10-22 12:33:00,2021-10-22 12:48:00,3.0,AM151.N4,AS36.U4A35 #10-12,0.25
16.0,2021-11-04,2021-11-04 09:45:00,2021-11-04 11:00:00,17.0,AS36.U4A35 #18-20,BF149.R4,1.25
16.0,2021-11-11,2021-11-11 09:24:00,2021-11-11 10:22:00,8.0,BF698.8R5R64,BL72.M458 1991,0.97
16.0,2021-12-22,2021-12-22 00:11:00,1900-01-01 00:00:00,Missing,BM 506.K43K37 1972 v. 3,BM506.Y7H36 1982 v. 3,-1069200.18
