student_id,date,Start DateTime,End DateTime,shelfreads_completed,start_call,end_call,Duration
8.0,2019-07-24,1900-01-01,1900-01-01,45.0,AC95.J3M5,AP95.J3B8 vol.79no.2 2001,0.0
8.0,2019-07-26,1900-01-01,1900-01-01,22.0,BL2216.S45 vol.38,BQ687.T335 1992,0.0
8.0,2019-07-26,1900-01-01,1900-01-01,5.0,BQ687.T345 1996,BQ4398.B85 1966,0.0
8.0,2019-08-07,1900-01-01,1900-01-01,25.0,DS890.Y63Y673 2002,DS897.Y6S45 no.14-15,0.0
8.0,2019-08-09,1900-01-01,1900-01-01,24.0,HF5387.S271995,HM131.M84 1979,0.0
8.0,2019-08-16,1900-01-01,1900-01-01,56.0,JQ1692.K96 1998,LA1311.8Z.A2546 2000 v.20,0.0
8.0,2019-08-21,1900-01-01,1900-01-01,65.0,PL700.B8V113no.1,PL726.6.s57,0.0
