student_id,date,Start DateTime,End DateTime,shelfreads_completed,start_call,end_call,Duration
11.0,2023-02-24,2023-02-24 10:45:00,2023-02-24 11:00:00,Missing,AC149.C,AS 452 ,0.25
11.0,2023-03-01,2023-03-01 10:45:00,2023-03-01 11:00:00,Missing,AS 452 ,BL 1430,0.25
11.0,2023-03-08,2023-03-08 09:46:00,2023-03-08 10:55:00,17.0,AC 149 .C422 1987 vol. 1,AE 17 .M56 1984 vol. 1,1.15
11.0,2023-03-31,2023-03-31 09:18:00,2023-03-31 10:25:00,23.0,AE 17 M.56 1984 vol 1 ,AP 95 .C4 H73126 vol. 1,1.12
11.0,2023-04-05,2023-04-05 10:01:00,2023-04-05 10:25:00,8.0,AP 95 .C4 H73126 vol 1,AP 95 .C4 H83 2001 ,0.4
11.0,2023-04-07,2023-04-07 09:19:00,2023-04-07 10:55:00,28.0,AP 95 .C4 H83 2001,AP 95 .C4 W425 2000 no. 7 ,1.6
11.0,2023-04-14,2023-04-14 09:25:00,2023-04-14 10:50:00,41.0,AP 95 .C4 W425 2000 no. 7 ,AS 455 .T263 A36 no.12 2000,1.42
11.0,2023-04-28,2023-04-28 10:37:00,2023-04-28 10:55:00,7.0,B 105 .H8J48 1996,B 126 .C486 1979 vol 1 ,0.3
